id	presenter_id	timezone	country	gmt_diff	T1	T2	T3	possible_time_slots
35765	presenter 95	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35736	presenter 96	(GMT+01:00) Berlin	USA	1	TRUE	TRUE	TRUE	T1, T2, T3
35889	presenter 97	(GMT+01:00) Berlin	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35878	presenter 98	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35750	presenter 99	(GMT+01:00) Berlin	UK	1	TRUE	TRUE	TRUE	T1, T2, T3
35934	presenter 100	(GMT+01:00) Warsaw	Poland	1	TRUE	TRUE	TRUE	T1, T2, T3
35950	presenter 101	(GMT+01:00) Warsaw	Poland	1	TRUE	TRUE	TRUE	T1, T2, T3
35868	presenter 102	(GMT+01:00) Berlin	USA	1	TRUE	TRUE	TRUE	T1, T2, T3
35776	presenter 103	(GMT+01:00) Berlin	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35890	presenter 104	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35835	presenter 105	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35811	presenter 106	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35966	presenter 107	(GMT+01:00) Madrid	Spain	1	TRUE	TRUE	TRUE	T1, T2, T3
35740	presenter 108	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35741	presenter 108	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35880	presenter 109	(GMT+03:00) Baghdad	Turkey	3	TRUE	TRUE	TRUE	T1, T2, T3
35810	presenter 110	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35804	presenter 111	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35900	presenter 112	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35949	presenter 113	(GMT+09:00) Tokyo	Japan	9	FALSE	TRUE	TRUE	T2, T3
35916	presenter 114	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35913	presenter 115	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35833	presenter 116	(GMT+00:00) Edinburgh	UK	0	TRUE	FALSE	TRUE	T1, T3
35744	presenter 117	(GMT+12:00) Auckland	New Zealand	12	TRUE	TRUE	FALSE	T1, T2
35745	presenter 117	(GMT+12:00) Auckland	New Zealand	12	TRUE	TRUE	FALSE	T1, T2
35918	presenter 118	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35919	presenter 118	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35824	presenter 119	(GMT+01:00) Bern	Switzerland	1	TRUE	TRUE	TRUE	T1, T2, T3
35961	presenter 120	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35899	presenter 121	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35756	presenter 122	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35757	presenter 122	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35909	presenter 123	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35812	presenter 124	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35972	presenter 125	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35747	presenter 126	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35779	presenter 127	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35884	presenter 128	(GMT+02:00) Jerusalem	Israel	2	TRUE	TRUE	TRUE	T1, T2, T3
35799	presenter 129	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35746	presenter 130	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35748	presenter 131	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35943	presenter 132	(GMT+04:00) Moscow	Russia	4	TRUE	TRUE	TRUE	T1, T2, T3
35863	presenter 133	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35865	presenter 133	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35938	presenter 134	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35802	presenter 135	(GMT+01:00) Madrid	Spain	1	TRUE	TRUE	TRUE	T1, T2, T3
35743	presenter 136	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35924	presenter 137	(GMT+00:00) Dublin	UK	0	TRUE	FALSE	TRUE	T1, T3
35886	presenter 138	(GMT+01:00) Amsterdam	The Netherlands	1	TRUE	TRUE	TRUE	T1, T2, T3
35921	presenter 139	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35847	presenter 140	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35915	presenter 141	(GMT+01:00) Vienna	Austria	1	TRUE	TRUE	TRUE	T1, T2, T3
35871	presenter 142	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35939	presenter 143	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35964	presenter 144	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35965	presenter 144	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35839	presenter 145	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35879	presenter 146	(GMT-03:00) Brasilia	Brazil	-3	TRUE	FALSE	TRUE	T1, T3
35870	presenter 147	(GMT-06:00) Central Time (US & Canada)	USA	-6	TRUE	FALSE	TRUE	T1, T3
35772	presenter 148	(GMT+08:00) Singapore	Singapore	8	FALSE	TRUE	TRUE	T2, T3
35962	presenter 149	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35815	presenter 150	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35834	presenter 151	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35784	presenter 152	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35906	presenter 153	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35803	presenter 154	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35917	presenter 155	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35923	presenter 156	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35941	presenter 157	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35768	presenter 158	(GMT+08:00) Singapore	Singapore	8	FALSE	TRUE	TRUE	T2, T3
35853	presenter 159	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35749	presenter 160	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35866	presenter 161	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35761	presenter 162	(GMT+01:00) Berlin	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35845	presenter 163	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35828	presenter 164	(GMT+08:00) Singapore	Singapore	8	FALSE	TRUE	TRUE	T2, T3
35846	presenter 165	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
